fecha,viajeros
2009-01-01,149944.02934517286
2009-02-01,127303.6922033775
2009-03-01,158795.67381860284
2009-04-01,172013.46769401644
2009-05-01,124559.52435069307
2009-06-01,151442.80337827274
2009-07-01,137616.9517422195
2009-08-01,179344.0418037644
2009-09-01,132791.13353560158
2009-10-01,153153.6097868689
2009-11-01,173623.2729586916
2009-12-01,219594.65119713946
2010-01-01,162333.26551165638
2010-02-01,132527.46022602476
2010-03-01,163351.09275954103
2010-04-01,170870.90530317114
2010-05-01,141291.6089476861
2010-06-01,155468.9470746268
2010-07-01,199667.83285998116
2010-08-01,183931.0306162957
2010-09-01,130760.34969839198
2010-10-01,157632.1243212268
2010-11-01,179538.33569674406
2010-12-01,227411.04636668903
2011-01-01,169708.55722701532
2011-02-01,139869.86559086668
2011-03-01,169957.79100865728
2011-04-01,191655.76499508988
2011-05-01,145923.54778125993
2011-06-01,163014.46872590488
2011-07-01,200521.00470178176
2011-08-01,174775.49370458006
2011-09-01,141183.83971974195
2011-10-01,152049.08059590787
2011-11-01,187320.0779012438
2011-12-01,243735.11067073603
2012-01-01,177125.95776830107
2012-02-01,147819.44219831316
2012-03-01,186237.2082521481
2012-04-01,182891.2362626656
2012-05-01,152137.5120438028
2012-06-01,173240.56422688224
2012-07-01,199340.37067282858
2012-08-01,170666.4032403826
2012-09-01,147847.52798648953
2012-10-01,167995.4374967636
2012-11-01,195400.06831855708
2012-12-01,238839.75250727762
2013-01-01,170858.696535424
2013-02-01,140163.89946159555
2013-03-01,217092.5553629627
2013-04-01,179526.03722270243
2013-05-01,179243.65691496403
2013-06-01,197164.99485562296
2013-07-01,211596.0172646677
2013-08-01,197150.9391696579
2013-09-01,163867.0618713466
2013-10-01,167624.46888297104
2013-11-01,202965.0230046185
2013-12-01,262449.4019393584
2014-01-01,219460.3466763904
2014-02-01,173476.24586474686
2014-03-01,200137.3302226692
2014-04-01,229359.1331489176
2014-05-01,190264.56475260793
2014-06-01,200093.47330128693
2014-07-01,237558.594805903
2014-08-01,225101.63196751618
2014-09-01,187684.78059355926
2014-10-01,223650.87089512649
2014-11-01,248017.60998571018
2014-12-01,325372.73464960407
2015-01-01,244120.9512092014
2015-02-01,197207.24754449064
2015-03-01,249587.40803931904
2015-04-01,247561.50812161784
2015-05-01,226414.60772244775
2015-06-01,245382.68691700848
2015-07-01,253035.1771321548
2015-08-01,245666.15541175148
2015-09-01,206700.77080266396
2015-10-01,227800.2788234454
2015-11-01,245184.0101002201
2015-12-01,329225.2385317896
2016-01-01,262106.6293521066
2016-02-01,214638.7297908925
2016-03-01,322030.33266050776
2016-04-01,211444.92035013388
2016-05-01,223932.92774985195
2016-06-01,226287.2952819879
2016-07-01,269012.23955853493
2016-08-01,258799.92772352407
2016-09-01,186819.30831740008
2016-10-01,249121.26446227162
2016-11-01,251531.9805278988
2016-12-01,321301.18866569793
2017-01-01,259641.60794906894
2017-02-01,233718.22885076454
2017-03-01,294444.4751136086
2017-04-01,377828.7289698364
2017-05-01,243741.78519639446
2017-06-01,247853.40796743412
2017-07-01,291574.27301642345
2017-08-01,274293.5932154499
2017-09-01,213696.60197929587
2017-10-01,239055.67001993404
2017-11-01,275693.4157893119
2017-12-01,356109.498921525
2018-01-01,303819.2179742683
2018-02-01,251666.99157049917
2018-03-01,393020.78296043223
2018-04-01,308239.861353772
2018-05-01,277750.0821155593
2018-06-01,311280.3505085109
2018-07-01,337300.58994755434
2018-08-01,352316.5717399916
2018-09-01,272777.06846753834
2018-10-01,282172.2126978078
2018-11-01,309687.6366610493
2018-12-01,393729.4913142119
2019-01-01,357645.7498163418
2019-02-01,285350.9076318986
2019-03-01,359757.99034261284
2019-04-01,388538.5481624975
2019-05-01,299297.3401131451
2019-06-01,333161.55536598404
2019-07-01,365333.6909719392
2019-08-01,365512.75428666285
2019-09-01,298250.07724295655
2019-10-01,294503.99136425246
2019-11-01,335783.9260785361
2019-12-01,449114.0705001674
2020-01-01,388222.6026616116
2020-02-01,317917.9765175921
2020-03-01,155415.5760920644
2020-04-01,10039.0
2020-05-01,9779.0
2020-06-01,11817.0
2020-07-01,13484.0
2020-08-01,15357.0
2020-09-01,12572.49268292683
2020-10-01,16680.78434895513
2020-11-01,52865.0
2020-12-01,55620.0
2021-01-01,89960.0
2021-02-01,52605.0
2021-03-01,85017.39633341735
2021-04-01,59743.1902214643
2021-05-01,73873.0
2021-06-01,95146.0
2021-07-01,97594.66433359256
2021-08-01,72327.0
2021-09-01,67022.99999999996
2021-10-01,83528.0
2021-11-01,98578.0
2021-12-01,223569.1278011966
2022-01-01,134303.0
2022-02-01,193903.6
2022-03-01,227886.0
2022-04-01,292648.0
2022-05-01,260013.0
2022-06-01,269366.0
2022-07-01,306246.0
2022-08-01,297602.0
2022-09-01,246464.0
2022-10-01,281938.0
2022-11-01,318693.0
2022-12-01,400266.0
2023-01-01,258166.18821264658
2023-02-01,198751.85766927942
2023-03-01,251839.50267324003
2023-04-01,283179.2556557847
2023-05-01,213191.03891840694
2023-06-01,224580.17382775573
2023-07-01,257626.95044792976
2023-08-01,264514.08794636687
2023-09-01,218486.4781049799
2023-10-01,164499.38846570507
2023-11-01,255894.27623440052
2023-12-01,327097.61316611955
2024-01-01,292731.86680673156
2024-02-01,265990.67321318097
2024-03-01,322310.39400228957
2024-04-01,240988.81729405138
2024-05-01,238807.9548151027
2024-06-01,234781.22686199367
2024-07-01,266974.95506929053
2024-08-01,282101.83101094456
2024-09-01,215658.8098341591
2024-10-01,249665.70083733913
2024-11-01,302674.076910829
2024-12-01,361749.6884796847
2025-01-01,289543.5982553855
2025-02-01,254428.88643334268
2025-03-01,278538.25098417036
2025-04-01,300287.6910735994
2025-05-01,247981.9259720942
2025-06-01,254190.0961535216
2025-07-01,283388.6987866118
2025-08-01,293780.5243930469
2025-09-01,218069.51122057904
2025-10-01,255920.93232213068
2025-11-01,310585.52010717517
2025-12-01,365573.0218067979
2026-01-01,300664.07527322107
2026-02-01,236844.11361811563
2026-03-01,291160.36570034793
2026-04-01,260951.04561236833
2026-05-01,241312.29525905842
2026-06-01,245687.58097717003
